songs,artists,uris,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Fallout,The Browning,spotify:track:7nHC7nLmakMwUuYajD89jR,0.428,0.94,4,-4.889,1,0.0637,0.000159,0.000117,0.123,0.225,140.143,213882,4,2
Shadow The Day,Bad/Love,spotify:track:7h5y4boQvUezQktpDFWvYK,0.406,0.926,6,-4.289,0,0.0614,0.00565,3.4e-06,0.288,0.268,90.005,206508,4,2
Skybreaker,The Browning,spotify:track:2iHYe5lgeXX65SLFEx6YV2,0.448,0.772,11,-6.35,0,0.0307,0.025,0.0785,0.155,0.149,145.029,255724,4,2
Save Me,The Scars Heal in Time,spotify:track:7kAZX1jGFCMgYP0EnktiWD,0.427,0.902,5,-7.175,0,0.171,0.000573,0.0431,0.106,0.328,140.003,223714,4,2
Silence,Flight Risk,spotify:track:7h8Ybz0MgttxsaJ6TM24pX,0.476,0.908,9,-4.625,0,0.0795,0.0529,2.15e-05,0.156,0.553,85.042,227889,4,1
The Craving,Varna,spotify:track:7LRYYbs7XZaZx7f4avjoMe,0.404,0.974,1,-2.722,0,0.158,1.81e-05,0.00084,0.267,0.447,166.015,268373,4,2
Giants,Blind Channel,spotify:track:4mjxoQbzAeF3GdcenEW2qt,0.319,0.816,8,-5.948,1,0.0602,0.00963,1.95e-05,0.279,0.292,102.011,198025,3,3
Legacy,Agonize The Serpent,spotify:track:3LW4A4AO82FYBnBa7BNfFg,0.496,0.995,6,-4.025,1,0.208,8.09e-05,0.000291,0.37,0.114,117.489,249781,4,2
Counterfeit,Alura,spotify:track:5BWh9PEP3DUdH7vmNVLnNx,0.404,0.98,11,-2.238,1,0.0939,8.95e-06,0.00175,0.359,0.293,95.012,220682,4,2
Look Away,Call It Home,spotify:track:76JuPJXsVQLRbDYoKkXxWO,0.401,0.988,10,-1.352,1,0.101,0.000596,4.81e-05,0.221,0.127,106.975,215327,4,2
behind,eyelid.,spotify:track:2iZk3Y3Y3MQujjHnsEGj03,0.414,0.928,7,-5.267,1,0.0926,5.07e-05,0.00146,0.383,0.207,170.024,205145,4,2
Father & Ghost,"Our Hollow, Our Home",spotify:track:5crq1UEOypjDn6jMdm9z8Y,0.144,0.989,7,-2.965,0,0.331,0.00376,0.000404,0.0819,0.0737,94.587,250526,3,3
Bye Bye Bye,BackWordz,spotify:track:5r9EQnpo2xEEAT1ITWXw5S,0.481,0.952,8,-3.753,0,0.105,0.0299,0.0,0.119,0.697,172.501,214957,4,2
Killswitch,PENLEY,spotify:track:0xDOvN6aCBGi3EaLD45rse,0.728,0.493,9,-9.714,0,0.146,0.397,0.0,0.171,0.594,130.053,223896,4,1
Colorblind,VRSTY,spotify:track:7jyk8VND4eXGN3ABRLGl61,0.334,0.985,1,-6.553,0,0.111,3.89e-05,0.000134,0.277,0.147,195.037,215385,4,2
Give Me a Sign,Matt Guillory,spotify:track:3nm7Sg9ix9B2y0QaFBN7lf,0.414,0.915,0,-5.503,0,0.0646,0.00693,0.0,0.128,0.685,180.153,217768,4,2
Start Over,Any Given Day,spotify:track:49XjqDqscQmqlhajVD4vyO,0.492,0.989,11,-2.593,0,0.172,2.58e-05,0.0041,0.232,0.218,134.99,281987,4,2
Acacius,Hills Have Eyes,spotify:track:6hl7dyRkwIudwAWA3140xe,0.456,0.901,11,-5.664,0,0.0659,1.16e-05,6.21e-06,0.0889,0.167,108.491,214553,4,2
Devious,My Diligent Future,spotify:track:0H8QtJ6shvCPuBeUi3q0t7,0.446,0.987,11,-3.733,0,0.0689,0.000612,0.0,0.166,0.319,143.972,218950,4,2
